| ticks:6193 | x-axis=-18 | y-axis=20 | z-axis=-271 |
| ticks:6209 | x-axis=-18 | y-axis=20 | z-axis=-274 |
| ticks:6223 | x-axis=-18 | y-axis=20 | z-axis=-274 |
| ticks:6237 | x-axis=-18 | y-axis=20 | z-axis=-274 |
| ticks:6260 | x-axis=-18 | y-axis=20 | z-axis=-274 |
| ticks:6274 | x-axis=-18 | y-axis=20 | z-axis=-274 |
| ticks:6288 | x-axis=-18 | y-axis=20 | z-axis=-274 |
| ticks:6303 | x-axis=-18 | y-axis=20 | z-axis=-274 |
| ticks:6317 | x-axis=-18 | y-axis=20 | z-axis=-274 |
| ticks:6331 | x-axis=-18 | y-axis=20 | z-axis=-274 |
| ticks:6345 | x-axis=-18 | y-axis=20 | z-axis=-274 |
| ticks:6361 | x-axis=-18 | y-axis=19 | z-axis=-272 |
| ticks:6375 | x-axis=-18 | y-axis=19 | z-axis=-272 |
| ticks:6396 | x-axis=-18 | y-axis=19 | z-axis=-272 |
| ticks:6410 | x-axis=-18 | y-axis=19 | z-axis=-272 |
| ticks:6424 | x-axis=-18 | y-axis=19 | z-axis=-272 |
| ticks:6439 | x-axis=-18 | y-axis=19 | z-axis=-272 |
| ticks:6453 | x-axis=-18 | y-axis=19 | z-axis=-272 |
| ticks:6468 | x-axis=-18 | y-axis=19 | z-axis=-272 |
| ticks:6482 | x-axis=-18 | y-axis=19 | z-axis=-272 |
| ticks:6499 | x-axis=-18 | y-axis=19 | z-axis=-272 |
| ticks:6518 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:6532 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:6554 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:6568 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:6583 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:6597 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:6611 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:6626 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:6641 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:6655 | x-axis=-18 | y-axis=20 | z-axis=-272 |
| ticks:6671 | x-axis=-18 | y-axis=20 | z-axis=-272 |
