| ticks:5058 | x-axis=-118 | y-axis=240 | z-axis=250 |
| ticks:5069 | x-axis=-118 | y-axis=240 | z-axis=250 |
| ticks:5080 | x-axis=-118 | y-axis=240 | z-axis=250 |
| ticks:5097 | x-axis=-118 | y-axis=240 | z-axis=250 |
| ticks:5108 | x-axis=-118 | y-axis=240 | z-axis=250 |
| ticks:5119 | x-axis=-118 | y-axis=240 | z-axis=250 |
| ticks:5130 | x-axis=-118 | y-axis=240 | z-axis=250 |
| ticks:5141 | x-axis=-118 | y-axis=240 | z-axis=250 |
| ticks:5159 | x-axis=-49 | y-axis=278 | z-axis=100 |
| ticks:5170 | x-axis=-49 | y-axis=278 | z-axis=100 |
| ticks:5181 | x-axis=-49 | y-axis=278 | z-axis=100 |
| ticks:5192 | x-axis=-49 | y-axis=278 | z-axis=100 |
| ticks:5203 | x-axis=-49 | y-axis=278 | z-axis=100 |
| ticks:5219 | x-axis=-49 | y-axis=278 | z-axis=100 |
| ticks:5243 | x-axis=-49 | y-axis=278 | z-axis=100 |
| ticks:5254 | x-axis=-49 | y-axis=278 | z-axis=100 |
| ticks:5265 | x-axis=-49 | y-axis=278 | z-axis=100 |
| ticks:5276 | x-axis=-49 | y-axis=278 | z-axis=100 |
| ticks:5288 | x-axis=-64 | y-axis=325 | z-axis=-49 |
| ticks:5299 | x-axis=-64 | y-axis=325 | z-axis=-49 |
| ticks:5310 | x-axis=-64 | y-axis=325 | z-axis=-49 |
| ticks:5321 | x-axis=-64 | y-axis=325 | z-axis=-49 |
| ticks:5339 | x-axis=-64 | y-axis=325 | z-axis=-49 |
| ticks:5350 | x-axis=-64 | y-axis=325 | z-axis=-49 |
| ticks:5361 | x-axis=-64 | y-axis=325 | z-axis=-49 |
| ticks:5372 | x-axis=-64 | y-axis=325 | z-axis=-49 |
| ticks:5383 | x-axis=-64 | y-axis=325 | z-axis=-49 |
| ticks:5394 | x-axis=-64 | y-axis=325 | z-axis=-49 |
| ticks:5406 | x-axis=-123 | y-axis=291 | z-axis=-263 |
| ticks:5417 | x-axis=-123 | y-axis=291 | z-axis=-263 |
| ticks:5428 | x-axis=-123 | y-axis=291 | z-axis=-263 |
| ticks:5439 | x-axis=-123 | y-axis=291 | z-axis=-263 |
| ticks:5468 | x-axis=-123 | y-axis=291 | z-axis=-263 |
| ticks:5479 | x-axis=-123 | y-axis=291 | z-axis=-263 |
| ticks:5490 | x-axis=-123 | y-axis=291 | z-axis=-263 |
| ticks:5501 | x-axis=-123 | y-axis=291 | z-axis=-263 |
| ticks:5512 | x-axis=-123 | y-axis=291 | z-axis=-263 |
| ticks:5523 | x-axis=-123 | y-axis=291 | z-axis=-263 |
| ticks:5535 | x-axis=-319 | y-axis=-270 | z-axis=273 |
