| ticks:6217 | x-axis=-40 | y-axis=0 | z-axis=-276 |
| ticks:6228 | x-axis=-40 | y-axis=0 | z-axis=-276 |
| ticks:6239 | x-axis=-40 | y-axis=0 | z-axis=-276 |
| ticks:6250 | x-axis=-40 | y-axis=0 | z-axis=-276 |
| ticks:6267 | x-axis=-40 | y-axis=0 | z-axis=-276 |
| ticks:6278 | x-axis=-40 | y-axis=0 | z-axis=-276 |
| ticks:6289 | x-axis=-40 | y-axis=0 | z-axis=-276 |
| ticks:6300 | x-axis=-40 | y-axis=0 | z-axis=-276 |
| ticks:6311 | x-axis=-40 | y-axis=0 | z-axis=-276 |
| ticks:6322 | x-axis=-40 | y-axis=0 | z-axis=-276 |
| ticks:6347 | x-axis=-43 | y-axis=-1 | z-axis=-269 |
| ticks:6358 | x-axis=-43 | y-axis=-1 | z-axis=-269 |
| ticks:6369 | x-axis=-43 | y-axis=-1 | z-axis=-269 |
| ticks:6385 | x-axis=-43 | y-axis=-1 | z-axis=-269 |
| ticks:6396 | x-axis=-43 | y-axis=-1 | z-axis=-269 |
| ticks:6407 | x-axis=-43 | y-axis=-1 | z-axis=-269 |
| ticks:6418 | x-axis=-43 | y-axis=-1 | z-axis=-269 |
| ticks:6429 | x-axis=-43 | y-axis=-1 | z-axis=-269 |
| ticks:6442 | x-axis=-43 | y-axis=-1 | z-axis=-269 |
| ticks:6457 | x-axis=-43 | y-axis=-1 | z-axis=-269 |
| ticks:6481 | x-axis=-44 | y-axis=-1 | z-axis=-274 |
| ticks:6493 | x-axis=-44 | y-axis=-1 | z-axis=-274 |
| ticks:6504 | x-axis=-44 | y-axis=-1 | z-axis=-274 |
| ticks:6521 | x-axis=-44 | y-axis=-1 | z-axis=-274 |
| ticks:6532 | x-axis=-44 | y-axis=-1 | z-axis=-274 |
| ticks:6543 | x-axis=-44 | y-axis=-1 | z-axis=-274 |
| ticks:6554 | x-axis=-44 | y-axis=-1 | z-axis=-274 |
| ticks:6565 | x-axis=-44 | y-axis=-1 | z-axis=-274 |
| ticks:6576 | x-axis=-44 | y-axis=-1 | z-axis=-274 |
| ticks:6587 | x-axis=-44 | y-axis=-1 | z-axis=-274 |
| ticks:6612 | x-axis=-42 | y-axis=2 | z-axis=-276 |
| ticks:6623 | x-axis=-42 | y-axis=2 | z-axis=-276 |
| ticks:6646 | x-axis=-42 | y-axis=2 | z-axis=-276 |
| ticks:6663 | x-axis=-42 | y-axis=2 | z-axis=-276 |
| ticks:6681 | x-axis=-42 | y-axis=2 | z-axis=-276 |
| ticks:6698 | x-axis=-42 | y-axis=2 | z-axis=-276 |
| ticks:6715 | x-axis=-42 | y-axis=2 | z-axis=-276 |
| ticks:6733 | x-axis=-42 | y-axis=2 | z-axis=-276 |
| ticks:6751 | x-axis=-42 | y-axis=2 | z-axis=-276 |
| ticks:6768 | x-axis=-42 | y-axis=2 | z-axis=-276 |
| ticks:6912 | x-axis=-41 | y-axis=-1 | z-axis=-273 |
| ticks:7083 | x-axis=-41 | y-axis=-1 | z-axis=-273 |
| ticks:7099 | x-axis=-41 | y-axis=-1 | z-axis=-273 |
| ticks:7110 | x-axis=-41 | y-axis=-1 | z-axis=-273 |
| ticks:7121 | x-axis=-41 | y-axis=-1 | z-axis=-273 |
| ticks:7131 | x-axis=-41 | y-axis=-1 | z-axis=-273 |
| ticks:7142 | x-axis=-41 | y-axis=-1 | z-axis=-273 |
| ticks:7153 | x-axis=-41 | y-axis=-1 | z-axis=-273 |
| ticks:7164 | x-axis=-41 | y-axis=-1 | z-axis=-273 |
| ticks:7175 | x-axis=-41 | y-axis=-1 | z-axis=-273 |
| ticks:7191 | x-axis=-41 | y-axis=0 | z-axis=-272 |
| ticks:7207 | x-axis=-41 | y-axis=0 | z-axis=-272 |
| ticks:7218 | x-axis=-41 | y-axis=0 | z-axis=-272 |
| ticks:7229 | x-axis=-41 | y-axis=0 | z-axis=-272 |
| ticks:7240 | x-axis=-41 | y-axis=0 | z-axis=-272 |
| ticks:7251 | x-axis=-41 | y-axis=0 | z-axis=-272 |
| ticks:7262 | x-axis=-41 | y-axis=0 | z-axis=-272 |
| ticks:7273 | x-axis=-41 | y-axis=0 | z-axis=-272 |
| ticks:7284 | x-axis=-41 | y-axis=0 | z-axis=-272 |
| ticks:7295 | x-axis=-41 | y-axis=0 | z-axis=-272 |
| ticks:7312 | x-axis=-42 | y-axis=0 | z-axis=-274 |
| ticks:7329 | x-axis=-42 | y-axis=0 | z-axis=-274 |
| ticks:7341 | x-axis=-42 | y-axis=0 | z-axis=-274 |
| ticks:7352 | x-axis=-42 | y-axis=0 | z-axis=-274 |
| ticks:7363 | x-axis=-42 | y-axis=0 | z-axis=-274 |
| ticks:7374 | x-axis=-42 | y-axis=0 | z-axis=-274 |
| ticks:7385 | x-axis=-42 | y-axis=0 | z-axis=-274 |
| ticks:7396 | x-axis=-42 | y-axis=0 | z-axis=-274 |
| ticks:7407 | x-axis=-42 | y-axis=0 | z-axis=-274 |
| ticks:7418 | x-axis=-42 | y-axis=0 | z-axis=-274 |
| ticks:7434 | x-axis=-42 | y-axis=0 | z-axis=-273 |
| ticks:7451 | x-axis=-42 | y-axis=0 | z-axis=-273 |
| ticks:7461 | x-axis=-42 | y-axis=0 | z-axis=-273 |
| ticks:7472 | x-axis=-42 | y-axis=0 | z-axis=-273 |
| ticks:7483 | x-axis=-42 | y-axis=0 | z-axis=-273 |
| ticks:7495 | x-axis=-42 | y-axis=0 | z-axis=-273 |
| ticks:7506 | x-axis=-42 | y-axis=0 | z-axis=-273 |
| ticks:7517 | x-axis=-42 | y-axis=0 | z-axis=-273 |
| ticks:7527 | x-axis=-42 | y-axis=0 | z-axis=-273 |
| ticks:7541 | x-axis=-42 | y-axis=0 | z-axis=-273 |
| ticks:7568 | x-axis=-41 | y-axis=0 | z-axis=-272 |
| ticks:7579 | x-axis=-41 | y-axis=0 | z-axis=-272 |
| ticks:7590 | x-axis=-41 | y-axis=0 | z-axis=-272 |
| ticks:7601 | x-axis=-41 | y-axis=0 | z-axis=-272 |
| ticks:7612 | x-axis=-41 | y-axis=0 | z-axis=-272 |
| ticks:7623 | x-axis=-41 | y-axis=0 | z-axis=-272 |
| ticks:7634 | x-axis=-41 | y-axis=0 | z-axis=-272 |
| ticks:7645 | x-axis=-41 | y-axis=0 | z-axis=-272 |
| ticks:7656 | x-axis=-41 | y-axis=0 | z-axis=-272 |
| ticks:7667 | x-axis=-41 | y-axis=0 | z-axis=-272 |
| ticks:7698 | x-axis=-44 | y-axis=0 | z-axis=-272 |
| ticks:7709 | x-axis=-44 | y-axis=0 | z-axis=-272 |
| ticks:7720 | x-axis=-44 | y-axis=0 | z-axis=-272 |
| ticks:7731 | x-axis=-44 | y-axis=0 | z-axis=-272 |
| ticks:7742 | x-axis=-44 | y-axis=0 | z-axis=-272 |
| ticks:7753 | x-axis=-44 | y-axis=0 | z-axis=-272 |
| ticks:7765 | x-axis=-44 | y-axis=0 | z-axis=-272 |
| ticks:7775 | x-axis=-44 | y-axis=0 | z-axis=-272 |
| ticks:7786 | x-axis=-44 | y-axis=0 | z-axis=-272 |
| ticks:7797 | x-axis=-44 | y-axis=0 | z-axis=-272 |
| ticks:7829 | x-axis=-41 | y-axis=0 | z-axis=-273 |
| ticks:7840 | x-axis=-41 | y-axis=0 | z-axis=-273 |
| ticks:7851 | x-axis=-41 | y-axis=0 | z-axis=-273 |
| ticks:7862 | x-axis=-41 | y-axis=0 | z-axis=-273 |
| ticks:7873 | x-axis=-41 | y-axis=0 | z-axis=-273 |
| ticks:7884 | x-axis=-41 | y-axis=0 | z-axis=-273 |
| ticks:7895 | x-axis=-41 | y-axis=0 | z-axis=-273 |
| ticks:7906 | x-axis=-41 | y-axis=0 | z-axis=-273 |
| ticks:7918 | x-axis=-41 | y-axis=0 | z-axis=-273 |
| ticks:7934 | x-axis=-41 | y-axis=0 | z-axis=-273 |
| ticks:7959 | x-axis=-42 | y-axis=-2 | z-axis=-272 |
| ticks:7970 | x-axis=-42 | y-axis=-2 | z-axis=-272 |
| ticks:7981 | x-axis=-42 | y-axis=-2 | z-axis=-272 |
| ticks:7992 | x-axis=-42 | y-axis=-2 | z-axis=-272 |
| ticks:8003 | x-axis=-42 | y-axis=-2 | z-axis=-272 |
| ticks:8014 | x-axis=-42 | y-axis=-2 | z-axis=-272 |
| ticks:8025 | x-axis=-42 | y-axis=-2 | z-axis=-272 |
| ticks:8036 | x-axis=-42 | y-axis=-2 | z-axis=-272 |
